,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
150,FIRST BRIDGE INVESTMENT MANAGERS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,FIRST GLOBAL FINANCE PVT LTD,0.0,12.0,233.0,47.0,0.0,0.0,292.0,0.0,70.42,353.38,48.37,0.0,0.0,472.17
152,FIRSTPORT VENTURES LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,FIVE RIVERS PORTFOLIO MANAGERS PRIVATE LIMITED,0.0,1.0,71.0,13.0,0.0,0.0,85.0,0.0,4.87047,164.06912,27.87729,0.0,0.0,196.81688
154,FORT CAPITAL INVESTMENT ADVISORY PRIVATE LIMITED,0.0,7.0,75.0,7.0,0.0,0.0,89.0,0.0,17.1,103.42,7.87,0.0,0.0,128.39
155,FORTUNA INVESTMENT ADVISORS LLP,0.0,1.0,26.0,0.0,0.0,0.0,27.0,0.0,8.41,22.65,0.0,0.0,0.0,31.06
156,FORTUNE WEALTH MANAGEMENT COMPANY INDIA PRIVATE LIMITED,0.0,6.0,36.0,0.0,0.0,0.0,42.0,0.0,194.7,132.81,0.0,0.0,0.0,327.51
157,FOUR DIMENSIONS ADVISORS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,FRACTAL CAPITAL INVESTMENTS LLP,0.0,2.0,38.0,9.0,0.0,0.0,49.0,0.0,6.51279,56.74234,17.49617,0.0,0.0,80.7513
159,FRANKLIN TEMPLETON ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,36528.20538,0.0,36528.20538
160,FUNDAMENTUM INVESTMENT ADVISORS LLP,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,FYERS ASSET MANAGEMENT PRIVATE LIMITED,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.06,0.0,0.0,0.0,0.0,10.06
162,GAJA ALTERNATIVE ASSET MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,GEOJIT FINANCIAL SERVICES LIMITED,0.0,17.0,1697.0,179.0,0.0,0.0,1893.0,0.0,11.62,1185.75,131.02,0.0,0.0,1328.39
164,GIRIK WEALTH ADVISORS PRIVATE LIMITED,0.0,71.0,427.0,1.0,0.0,0.0,499.0,0.0,503.83,1407.73,1.1863,0.0,0.0,1912.75
165,GLOBALWORTH SECURITIES LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,GLOBE CAPITAL MARKET LTD.,0.0,58.0,357.0,13.0,0.0,0.0,428.0,0.0,952.07666,509.86627,25.11162,0.0,0.0,1487.05455
167,GOLDMAN SACHS ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,GOOD FORTUNE CAPITALS PRIVATE LIMITED,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,1.11476,2.61999,0.0,0.0,3.73474
169,GREEN LANTERN CAPITAL LLP,0.0,48.0,627.0,33.0,0.0,0.0,708.0,0.0,107.71466,812.14008,45.70335,0.0,0.0,965.55809
170,GREEN PORTFOLIO PRIVATE LIMITED,0.0,20.0,235.0,47.0,2.0,0.0,304.0,0.0,173.48,474.0,60.92392,1.61,0.0,710.01392
171,GROWW WEALTH MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,GUARDIAN ADVISORS PVT LTD,0.0,12.0,17.0,0.0,0.0,0.0,29.0,0.0,985.2614,37.61131,0.0,0.0,0.0,1022.87271
173,GUARDIAN ASSET MANAGEMENT PRIVATE LIMITED,0.0,3.0,36.0,2.0,0.0,0.0,41.0,0.0,24.49,87.11,1.35,0.0,0.0,112.95
174,HANUT ALTERNATE INVESTMENTS LLP,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,34.301,0.0,0.0,0.0,34.301
175,HARMONEY FINSERV INDIA PRIVATE LIMITED,0.0,9.0,110.0,6.0,0.0,0.0,125.0,0.0,12.1082,140.4272,5.8771,0.0,0.0,158.4125
176,HDFC ASSET MANAGEMENT COMPANY LIMITED,0.0,19.0,80.0,8.0,0.0,0.0,107.0,0.0,2693.32,1038.3,16.39,0.0,0.0,3748.01
177,HEDGE EQUITIES LTD,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.77,0.0,0.0,0.0,0.0,0.77
178,HELIOS CAPITAL ASSET MANAGEMENT (INDIA) PRIVATE LIMITED,0.0,88.0,662.0,60.0,1.0,0.0,811.0,0.0,471.13,1117.93,57.8,2179.2,0.0,3826.06
179,HEM SECURITIES LIMITED,0.0,18.0,211.0,7.0,0.0,0.0,236.0,0.0,29.45,226.72,4.47,0.0,0.0,260.65
180,HIMALAYA INVESTMENT ADVISORS LLP,0.0,13.0,30.0,1.0,1.0,0.0,45.0,0.0,217.8665,121.55553,6.45826,47.80672,0.0,393.68702
181,HPMG SHARES AND SECURITIES PRIVATE LIMITED,0.0,2.0,32.0,4.0,0.0,0.0,38.0,0.0,1.98282,25.83588,2.3179,0.0,0.0,30.13659
182,HSBC ASSET MANAGEMENT (INDIA) PVT. LTD.,0.0,1.0,499.0,207.0,0.0,0.0,707.0,0.0,0.48,381.02,125.48,0.0,0.0,506.98
183,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD.,0.0,802.0,20396.0,1253.0,0.0,0.0,22451.0,0.0,2656.98,18942.37,1236.43,0.0,0.0,22835.78
184,ICICI SECURITIES LIMITED,0.0,95.0,1601.0,31.0,0.0,0.0,1727.0,0.0,644.23321,2830.65524,53.0137,0.0,0.0,3527.90215
185,ICICI VENTURE FUNDS MANAGEMENT COMPANY LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,IDBI CAPITAL MARKET SERVICES LTD,3.0,2.0,0.0,0.0,0.0,0.0,5.0,4404.99,4435.69,0.0,0.0,0.0,0.0,8840.68
187,IMPETUS ARTHASUTRA PRIVATE LIMITED,0.0,1.0,42.0,20.0,0.0,0.0,63.0,0.0,1.00245,45.56355,26.95041,0.0,0.0,73.51641
188,INCRED ASSET MANAGEMENT PRIVATE LIMITED,0.0,61.0,385.0,27.0,0.0,0.0,473.0,0.0,456.25892,612.22748,45.47814,0.0,0.0,1113.96454
189,INCRED CAPITAL WEALTH PORTFOLIO MANAGERS PRIVATE LIMITED,0.0,17.0,39.0,4.0,0.0,0.0,60.0,0.0,217.82,398.75,4.74,0.0,0.0,621.31
190,INDIA INFOLINE LTD,0.0,3.0,15.0,1.0,0.0,0.0,19.0,0.0,29.12,72.68,1.9,0.0,0.0,103.7
191,INDIABULLS INVESTMENT MANAGEMENT LIMITED,0.0,16.0,233.0,3.0,0.0,0.0,252.0,0.0,3.75,15.34,0.3,0.0,0.0,19.39
